,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
5,886,886,12332086,1417,False,6,6,18,8.8e-05,0.928571,0.250594,92,ReLU(),117,0.930894,0.848698,0.928571,0.851631,0.936709,0.864369,0.942857,0.877622,True,0.005425333333333319,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8957590665173091,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
6,8648,8648,12339848,1317,False,5,5,18,8.8e-05,0.957143,0.298118,94,ReLU(),117,0.930894,0.849649,0.957143,0.910028,0.936709,0.863386,0.914286,0.822753,True,0.01749933333333331,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9077495175136089,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
115,16241,16241,12347441,1417,False,6,6,18,7.8e-05,0.857143,0.362587,95,ReLU(),117,0.918699,0.824665,0.857143,0.690313,0.905063,0.795213,0.828571,0.650444,False,0.04103733333333337,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.874761878780304,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
13,18272,18272,12349472,1517,False,7,7,18,8.1e-05,0.9,0.310588,97,ReLU(),117,0.922764,0.83111,0.9,0.79402,0.917722,0.822098,0.857143,0.708113,True,0.015176000000000004,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8916549007150915,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
16,25952,25952,12357152,1217,False,4,4,18,8.6e-05,0.901408,0.293442,96,ReLU(),117,0.942857,0.877943,0.901408,0.786236,0.933544,0.855833,0.914286,0.822753,True,0.02763266666666664,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.900067113969275,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
19,29097,29097,12360297,1417,False,6,6,18,9e-05,0.928571,0.255879,90,ReLU(),117,0.943089,0.877567,0.928571,0.848528,0.939873,0.87103,0.885714,0.75333,True,0.009678666666666613,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9025962789634341,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
59,37446,37446,12368646,1217,False,4,4,18,8.2e-05,0.885714,0.317159,91,ReLU(),117,0.934959,0.861944,0.885714,0.759841,0.927215,0.845816,0.857143,0.691861,False,0.03282999999999999,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8905741856813844,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
33,41290,41290,12372490,917,False,1,1,18,8.3e-05,0.9,0.31388,95,ReLU(),117,0.930894,0.850458,0.9,0.777337,0.924051,0.834756,0.885714,0.765375,False,0.020595999999999986,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.894417023692566,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
31,47531,47531,12378731,1317,False,5,5,18,8.7e-05,0.9,0.31102,97,ReLU(),117,0.934959,0.860407,0.9,0.782531,0.927215,0.843274,0.914286,0.822753,False,0.023305999999999976,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8885682442446275,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
15,53531,53531,12384731,1317,False,5,5,18,7.9e-05,0.957143,0.228352,98,ReLU(),117,0.926829,0.842327,0.957143,0.910028,0.936709,0.864369,0.8,0.59172,True,0.0202093333333333,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9036399802281779,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
7,57612,57612,12388812,1517,False,7,7,18,8.9e-05,0.915493,0.308987,96,ReLU(),117,0.942857,0.876601,0.915493,0.818301,0.936709,0.863386,0.885714,0.765375,True,0.01824266666666663,ionosphere,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.904717106191816,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
282,66791,66791,12397991,917,False,1,1,18,8.6e-05,0.842857,0.413412,84,ReLU(),117,0.926829,0.843304,0.842857,0.652921,0.908228,0.801928,0.971429,0.939651,False,0.05598133333333336,ionosphere,7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8440930509430187,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
32,67947,67947,12399147,1517,False,7,7,18,8.4e-05,0.914286,0.298152,98,ReLU(),117,0.922764,0.833285,0.914286,0.818895,0.920886,0.829904,0.885714,0.75333,True,0.00565199999999999,ionosphere,12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8949448046624421,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
102,78342,78342,12409542,1417,False,6,6,18,8.6e-05,0.857143,0.335224,99,ReLU(),117,0.947154,0.886171,0.857143,0.690313,0.927215,0.843274,0.885714,0.765375,True,0.06000733333333338,ionosphere,3,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8771464183348282,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
59,82605,82605,12413805,917,False,1,1,18,8.2e-05,0.885714,0.296845,97,ReLU(),117,0.922764,0.833285,0.885714,0.759841,0.914557,0.816557,0.885714,0.765375,False,0.024700000000000017,ionosphere,15,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8871930265065294,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
52,86456,86456,12417656,1217,False,4,4,18,8.7e-05,0.9,0.27966,98,ReLU(),117,0.922764,0.834772,0.9,0.789352,0.917722,0.82457,0.8,0.567295,False,0.015176000000000004,ionosphere,1,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8930126313060973,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
14,90962,90962,12422162,1417,False,6,6,18,8.5e-05,0.914286,0.289569,92,ReLU(),117,0.922764,0.832248,0.914286,0.817018,0.927215,0.842317,0.914286,0.815076,False,0.008619333333333312,ionosphere,16,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8943001503244408,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
5,99523,99523,12430723,1417,False,6,6,18,9.6e-05,0.9,0.257762,97,ReLU(),117,0.955285,0.903902,0.9,0.79402,0.943038,0.878769,0.914286,0.815076,True,0.03685666666666668,ionosphere,6,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9011974477646355,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
12,103283,103283,12434483,3026,False,6,6,27,3.8e-05,0.785714,0.505956,99,SELU(),326,0.760223,0.451691,0.785714,0.517731,0.765896,0.466559,0.802632,0.544436,True,0.016994000000000026,diabetes,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8650820130389251,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
25,107675,107675,12438875,3026,False,6,6,27,4.4e-05,0.75817,0.534447,97,SELU(),326,0.7718,0.478461,0.75817,0.451297,0.763006,0.459813,0.75,0.416333,True,0.009086666666666687,diabetes,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8590662772677667,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
13,114620,114620,12445820,2826,False,4,4,27,3.7e-05,0.753247,0.546957,99,SELU(),326,0.77881,0.496571,0.753247,0.445659,0.773121,0.48781,0.802632,0.544436,True,0.017042,diabetes,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8576178174444354,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
35,118044,118044,12449244,2626,False,2,2,27,3.7e-05,0.75974,0.533644,96,SELU(),326,0.765799,0.464487,0.75974,0.448257,0.758671,0.447668,0.763158,0.457055,False,0.004752000000000016,diabetes,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.857300898298319,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
28,124778,124778,12455978,2926,False,5,5,27,4e-05,0.753247,0.531757,98,SELU(),326,0.767658,0.467424,0.753247,0.431659,0.770231,0.471167,0.723684,0.335322,True,0.011322666666666667,diabetes,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8578286430942486,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
27,134239,134239,12465439,2426,False,0,0,27,4.3e-05,0.831169,0.473754,98,SELU(),326,0.741636,0.404571,0.831169,0.620523,0.774566,0.488954,0.631579,0.120173,True,0.05968866666666672,diabetes,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8677553799836739,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
12,136874,136874,12468074,3026,False,6,6,27,3.3e-05,0.792208,0.483698,97,SELU(),326,0.767658,0.466912,0.792208,0.526353,0.776012,0.489469,0.723684,0.352282,True,0.016366666666666713,diabetes,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8715674575101542,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
31,142818,142818,12474018,2926,False,5,5,27,3.6e-05,0.74026,0.56041,97,SELU(),326,0.771375,0.483029,0.74026,0.412395,0.768786,0.485248,0.789474,0.51821,False,0.020743333333333336,diabetes,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8510765993592526,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
162,147689,147689,12478889,3026,False,6,6,27,4.1e-05,0.733766,0.589526,86,SELU(),326,0.752788,0.434194,0.733766,0.377654,0.75578,0.434173,0.723684,0.33925,False,0.014675999999999986,diabetes,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8318252876229943,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
17,154214,154214,12485414,2926,False,5,5,27,3.8e-05,0.79085,0.494938,97,SELU(),326,0.760668,0.45087,0.79085,0.522679,0.760116,0.447015,0.776316,0.480384,True,0.02048933333333336,diabetes,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8588467205598871,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
15,160942,160942,12492142,2726,False,3,3,27,4.1e-05,0.798701,0.520707,99,SELU(),326,0.749071,0.430938,0.798701,0.556129,0.763006,0.479938,0.710526,0.345441,True,0.03308666666666663,diabetes,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8558834640082046,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
14,163177,163177,12494377,2526,False,1,1,27,3.6e-05,0.766234,0.562789,98,SELU(),326,0.771375,0.474652,0.766234,0.512453,0.776012,0.522907,0.802632,0.575452,True,0.00651866666666671,diabetes,7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8671719368688077,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
17,171370,171370,12502570,2626,False,2,2,27,3.4e-05,0.798701,0.567684,95,SELU(),326,0.763941,0.456183,0.798701,0.543646,0.771676,0.484178,0.736842,0.381119,True,0.02317333333333334,diabetes,12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8690694073210491,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
90,177583,177583,12508783,2926,False,5,5,27,3.9e-05,0.798701,0.52118,90,SELU(),326,0.743494,0.410205,0.798701,0.568568,0.764451,0.492208,0.605263,0.155293,False,0.03680466666666667,diabetes,3,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8468542727116193,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
28,181914,181914,12513114,2726,False,3,3,27,4e-05,0.75974,0.557029,94,SELU(),326,0.784387,0.514779,0.75974,0.446748,0.778902,0.493831,0.710526,0.315883,True,0.016431333333333315,diabetes,15,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8627405783947958,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
71,186888,186888,12518088,2726,False,3,3,27,4e-05,0.792208,0.507834,84,SELU(),326,0.773234,0.479672,0.792208,0.540007,0.771676,0.494295,0.618421,0.160128,True,0.013687999999999997,diabetes,1,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8487843526796705,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
43,191323,191323,12522523,2626,False,2,2,27,4e-05,0.75974,0.547067,96,SELU(),326,0.749071,0.437407,0.75974,0.446618,0.761561,0.44915,0.736842,0.405108,False,0.008326666666666668,diabetes,16,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8443000440415015,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
31,197769,197769,12528969,2826,False,4,4,27,3.5e-05,0.746753,0.55167,98,SELU(),326,0.763941,0.463426,0.746753,0.441555,0.764451,0.471007,0.736842,0.3959,True,0.01179866666666666,diabetes,6,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8606698398374368,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
29,203430,203430,12534630,1,False,0,0,2,0.000224,0.855072,0.417071,97,Identity(),1,0.869565,0.735505,0.855072,0.707174,0.867955,0.732007,0.898551,0.799841,False,0.009661999999999985,Australian,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9315658937969366,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
86,208580,208580,12539780,601,False,6,6,2,0.000228,0.862319,0.390586,96,Identity(),1,0.850932,0.697301,0.862319,0.721231,0.856683,0.709141,0.782609,0.559628,False,0.007591333333333283,Australian,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9019366146312554,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
11,217009,217009,12548209,401,False,4,4,2,0.000175,0.913043,0.316216,89,Identity(),1,0.863354,0.723657,0.913043,0.824669,0.877617,0.752855,0.84058,0.677614,True,0.033126000000000065,Australian,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9331100498150239,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
22,219446,219446,12550646,101,False,1,1,2,0.000206,0.884058,0.364428,95,Identity(),1,0.869565,0.737114,0.884058,0.767856,0.872786,0.743889,0.913043,0.826719,True,0.009661999999999985,Australian,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9318123567417539,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
7,225342,225342,12556542,301,False,3,3,2,0.000179,0.884058,0.328746,98,Identity(),1,0.867495,0.731539,0.884058,0.773331,0.871176,0.739837,0.869565,0.73595,False,0.011041999999999996,Australian,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9464765426491106,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
35,233067,233067,12564267,401,False,4,4,2,0.000178,0.884058,0.379275,95,Identity(),1,0.857143,0.709793,0.884058,0.765337,0.864734,0.725489,0.826087,0.651739,False,0.01794333333333335,Australian,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9274570781344919,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
60,238160,238160,12569360,701,False,7,7,2,0.000209,0.898551,0.334649,98,Identity(),1,0.859213,0.714282,0.898551,0.795148,0.867955,0.732082,0.869565,0.736949,False,0.026225333333333323,Australian,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9086640164133689,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
5,243271,243271,12574471,201,False,2,2,2,0.000192,0.884058,0.323956,92,Identity(),1,0.869565,0.736079,0.884058,0.767856,0.872786,0.742956,0.913043,0.826719,False,0.009661999999999985,Australian,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9416984051929208,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
3,251562,251562,12582762,501,False,5,5,2,0.000201,0.913043,0.313271,97,Identity(),1,0.855072,0.705875,0.913043,0.824278,0.869565,0.735617,0.884058,0.765634,True,0.03864733333333333,Australian,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9540351351014934,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
5,255267,255267,12586467,1,False,0,0,2,0.000163,0.92029,0.289723,96,Identity(),1,0.867495,0.731369,0.92029,0.838223,0.879227,0.755092,0.855072,0.707131,False,0.03519666666666669,Australian,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9500304201914854,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
45,261816,261816,12593016,401,False,4,4,2,0.0002,0.898551,0.320887,85,Identity(),1,0.867495,0.736751,0.898551,0.802514,0.874396,0.751282,0.855072,0.707131,True,0.020703999999999983,Australian,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9190673704140314,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
4,268568,268568,12599768,1,False,0,0,2,0.000183,0.927536,0.300945,95,Identity(),1,0.848861,0.693264,0.927536,0.852966,0.866345,0.728738,0.869565,0.737513,True,0.05245000000000003,Australian,7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9450527692435374,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
35,269056,269056,12600256,701,False,7,7,2,0.000182,0.884058,0.325681,92,Identity(),1,0.881988,0.761813,0.884058,0.764956,0.880837,0.759364,0.826087,0.648906,True,0.002147333333333353,Australian,12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9358198788974034,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
4,278675,278675,12609875,301,False,3,3,2,0.000211,0.913043,0.3117,96,Identity(),1,0.857143,0.710173,0.913043,0.824661,0.869565,0.735391,0.898551,0.799841,False,0.037266666666666705,Australian,3,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9499634812913055,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
24,282094,282094,12613294,601,False,6,6,2,0.000201,0.884058,0.375995,92,Identity(),1,0.871636,0.739899,0.884058,0.768305,0.874396,0.745168,0.869565,0.737513,False,0.008281333333333363,Australian,15,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9413845369711302,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
17,290246,290246,12621446,1,False,0,0,2,0.000193,0.913043,0.33847,90,Identity(),1,0.857143,0.710581,0.913043,0.823077,0.869565,0.735488,0.855072,0.715381,False,0.037266666666666705,Australian,1,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9382862113026557,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
21,293445,293445,12624645,101,False,1,1,2,0.000167,0.884058,0.361329,90,Identity(),1,0.867495,0.732728,0.884058,0.767856,0.871176,0.740463,0.898551,0.796283,False,0.011041999999999996,Australian,16,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9417938817365044,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
27,297637,297637,12628837,401,False,4,4,2,0.000173,0.869565,0.392026,88,Identity(),1,0.863354,0.722466,0.869565,0.738456,0.864734,0.725489,0.869565,0.73595,False,0.004140666666666719,Australian,6,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9129198877800735,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
77,302474,302474,12633674,1130,False,3,3,31,0.000203,0.919075,0.259346,98,ReLU(),130,0.918182,0.822752,0.919075,0.826545,0.91838,0.823069,0.912791,0.805385,False,0.0005953333333332811,car(3),17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8287732082014012,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
26,310154,310154,12641354,1530,False,7,7,31,0.000191,0.907246,0.2557,99,ReLU(),130,0.926507,0.837998,0.907246,0.792354,0.924165,0.832528,0.889535,0.746689,True,0.012840666666666648,car(3),18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8323762797872072,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
48,314683,314683,12645883,1130,False,3,3,31,0.000194,0.913295,0.258073,99,ReLU(),130,0.915702,0.816225,0.913295,0.811232,0.91838,0.822113,0.930233,0.850028,False,0.003390000000000004,car(3),2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.832795723030684,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
14,321965,321965,12653165,1430,False,6,6,31,0.000189,0.910405,0.267162,99,ReLU(),130,0.923967,0.830066,0.910405,0.804744,0.923522,0.830988,0.924419,0.832696,False,0.00904133333333331,car(3),5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8378468684786677,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
52,325328,325328,12656528,1130,False,3,3,31,0.00017,0.913295,0.261226,99,ReLU(),130,0.909917,0.798998,0.913295,0.807227,0.911954,0.803724,0.901163,0.777846,False,0.002251999999999995,car(3),0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8229531163588266,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
7,333788,333788,12664988,1130,False,3,3,31,0.000184,0.933526,0.241845,95,ReLU(),130,0.919835,0.824404,0.933526,0.853954,0.923522,0.832231,0.895349,0.766561,True,0.00912733333333334,car(3),13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8469396340079532,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
29,336314,336314,12667514,1030,False,2,2,31,0.000197,0.924855,0.249806,93,ReLU(),130,0.92562,0.837518,0.924855,0.836044,0.923522,0.832267,0.906977,0.789509,False,0.0013986666666666963,car(3),14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8406004615908661,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
9,341992,341992,12673192,1530,False,7,7,31,0.000215,0.921739,0.232664,99,ReLU(),130,0.92403,0.833421,0.921739,0.828192,0.923522,0.832827,0.872093,0.7075,True,0.001527333333333362,car(3),11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8371501520802325,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
8,349674,349674,12680874,1230,False,4,4,31,0.0002,0.919075,0.243605,99,ReLU(),130,0.929752,0.844291,0.919075,0.826109,0.926093,0.838123,0.901163,0.781357,True,0.007118000000000031,car(3),4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8462870400345621,Global,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
